,Resutorant ID,Name,Cuisine,Rating,Time,Distance,offers,image,Promo
0,4-C3VXLZKYHBUKTT,Hua Zai Roasted Duck - Killiney Road,"Hawker, Local & Malaysian, Chinese",4.3,40 mins,2.3 km,Get up to 50% OFF festive bundles this CNY,Order Hua Zai Roasted Duck - Killiney Road,TRUE
1,4-C33BFGDVRX2JLJ,Takagi Ramen - Alexandra View,"Japanese, Ramen, Noodles",4,40 mins,4.7 km,Get up to 50% OFF festive bundles this CNY,Order Takagi Ramen - Alexandra View,TRUE
2,4-C33BFGDVRX2JLJ,Nana Original Thai Food - Clementi Road,"Thai, Seafood, Noodles",4.4,45 mins,12.8 km,Get up to 50% OFF festive bundles this CNY,Order Takagi Ramen - Alexandra View,TRUE
3,4-C3X1VRMCLN6WVX,Fat Bao Bao - High Street Plaza,"Local & Malaysian, Snack",4.5,25 mins,0.5 km,,Order Fat Bao Bao - High Street Plaza,TRUE
4,4-C2BJG6JAJPWYFE,Peppercorn Chinese Cuisine and Mala Hotpot - Jalan Besar,"Chinese, Local & Malaysian, Mala",4.1,35 mins,3.7 km,,Order Peppercorn Chinese Cuisine and Mala Hotpot - Jalan Besar,TRUE
5,SGDD11681,Carl's Jr. - Marina Square,"Western, Burgers, Snack",4.2,35 mins,2 km,20% off storewide with GrabUnlimited. T&C apply.,Order Carl's Jr. - Marina Square,TRUE
6,SGDD11568,The Soup Spoon - Raffles Xchange,"Soup, Western, Vegetarian Friendly, Healthy, Halal",4.4,30 mins,1.6 km,Feast on CNY bundles and more,Order The Soup Spoon - Raffles Xchange,TRUE
7,SGDD11342,Tongue Tip Lanzhou Beef Noodles 舌尖尖 - Chinatown Point,"Chinese, Halal",4.4,30 mins,1.5 km,20% off storewide with GrabUnlimited. T&C apply.,Order Tongue Tip Lanzhou Beef Noodles 舌尖尖 - Chinatown Point,TRUE
8,SGDD06428,COLLIN'S® Restaurant - Marina Square,"Drinks & Beverages, Pasta, Salad, Group Friendly, Alcohol",4.3,40 mins,1.9 km,Get up to 50% OFF festive bundles this CNY,Order COLLIN'S® Restaurant - Marina Square,TRUE
9,4-CZJBJGMKVFKBHA,Antoheetos - Clarke Quay Central,"Mexican, Healthy, Kids Friendly, Vegetarian Friendly, Halal",3.7,30 mins,0.9 km,20% off storewide with GrabUnlimited. T&C apply.,Order Antoheetos - Clarke Quay Central,TRUE
10,4-CZDUG8CYUFUURJ,Cedele - Raffles City Shopping Centre,"Breakfast & Brunch, Western, Bakery & Cake",4.3,30 mins,1.1 km,20% off storewide. 30% off with GrabUnlimited this CNY. T&C apply.,Order Cedele - Raffles City Shopping Centre,TRUE
11,4-CY3TEBM3TF2GFA,Burger King - The Central,"Western, Fast Food, Burgers, Halal",4,25 mins,0.9 km,Get up to 50% OFF festive bundles this CNY,Order Burger King - The Central,TRUE
12,4-CY3TEBM3TF2GFA,Delibowl - Funan 壹碗福南数码广场,"Local & Malaysian, Chinese, Zi Char, Halal",4.4,30 mins,0.5 km,Get up to 50% OFF festive bundles this CNY,Order Burger King - The Central,TRUE
13,4-C3XEWFCAERMHG2,Four Pizza - Havelock2,"Western, Pizza, Halal",4.6,35 mins,1.6 km,,Order Four Pizza - Havelock2,TRUE
14,4-C3U1G3D2VLL1JE,Bowle - Chinatown Point,"Healthy, Healthy Mixed Bowls, Fried Chicken",4.2,35 mins,1.6 km,20% off storewide with GrabUnlimited. T&C apply.,Order Bowle - Chinatown Point,TRUE
15,4-C3MGPGJTWFVCC6,Wrap Up - Kebab Burrito Salad Sandwich Mexican Food - Chinatown Point,"Mexican, Salad, Snack",4.1,30 mins,1.6 km,20% off storewide with GrabUnlimited. T&C apply.,Order Wrap Up - Kebab Burrito Salad Sandwich Mexican Food - Chinatown Point,TRUE
16,4-C3MGPGJTWFVCC6,Nuodle Lanzhou Beef Noodle 牛一嘴兰州牛肉拉面 - Raffles City Shopping Centre,"Chinese, Fast Food, Noodles",4.3,30 mins,1.1 km,20% off storewide with GrabUnlimited. T&C apply.,Order Wrap Up - Kebab Burrito Salad Sandwich Mexican Food - Chinatown Point,TRUE
17,4-C26ZJFWXN3NHHA,The Alley - Funan,"Drinks & Beverages, Coffee & Tea, Bubble Tea, Group Friendly",4.4,25 mins,0.6 km,30% off storewide with GrabUnlimited. T&C apply.,Order The Alley - Funan,TRUE
18,4-C26ZJFWXN3NHHA,Poke Theory - Change Alley Mall,"Salad, Healthy, Vegan, Halal, Group Friendly",4.4,25 mins,1.3 km,30% off storewide with GrabUnlimited. T&C apply.,Order The Alley - Funan,TRUE
19,4-C35TNRE3L7LUVE,Kaza Kebab - Fusion Of Asian & Arabic Kebab Burrito House - Chinatown Point,"Middle Eastern, Kebab",3.6,35 mins,1.6 km,20% off storewide with GrabUnlimited. T&C apply.,Order Kaza Kebab - Fusion Of Asian & Arabic Kebab Burrito House - Chinatown Point,TRUE
20,4-C3VBPB2KL6XJTA,Kinzo Izakaya - Club Street,"Japanese, Local & Malaysian, Seafood, Alcohol",4.3,25 mins,1.8 km,20% off storewide. 30% off with GrabUnlimited this CNY. T&C apply.,Order Kinzo Izakaya - Club Street,TRUE
21,4-C3VBPB2KL6XJTA,Ima-Sushi - Singapore Management University,"Japanese, Sushi, Noodles",4.5,35 mins,1.4 km,20% off storewide. 30% off with GrabUnlimited this CNY. T&C apply.,Order Kinzo Izakaya - Club Street,TRUE
22,4-CZCUEKTAWELZTE,Jia Xiang Xiao Chu 16 家乡小厨16店 - New Bridge,"Chinese, Local & Malaysian, Mala",4.2,40 mins,2 km,30% off storewide this CNY. T&C apply.,Order Jia Xiang Xiao Chu 16 家乡小厨16店 - New Bridge,TRUE
23,SGDD08064,Northern Jiangsu Cuisine 彭城小厨 - 45 Temple Street,"Chinese, Dim Sum, Noodles, Mala, BBQ & Grill",4,40 mins,2.3 km,Feast on CNY bundles and more,Order Northern Jiangsu Cuisine 彭城小厨 - 45 Temple Street,TRUE
24,4-C3AXL2D1AXWBPA,Jia Xiang Mala Tang 家乡麻辣烫 - People's Park Complex,"Chinese, Local & Malaysian, Mala",4.2,35 mins,1.5 km,30% off storewide this CNY. T&C apply.,Order Jia Xiang Mala Tang 家乡麻辣烫 - People's Park Complex,TRUE
25,4-C3AXL2D1AXWBPA,Kunyah Cafe Food Kiosk - SMU,Breakfast & Brunch,25 mins  •  1.8 km,35 mins,1.5 km,30% off storewide this CNY. T&C apply.,Order Jia Xiang Mala Tang 家乡麻辣烫 - People's Park Complex,TRUE
26,4-C3NCTTV2GUAECT,Popular Food Japanese Korean Cuisine - Lazada One,"Japanese, Korean, Bento",4.5,35 mins,1.9 km,20% off storewide. 30% off with GrabUnlimited this CNY. T&C apply.,Order Popular Food Japanese Korean Cuisine - Lazada One,TRUE
27,SGDD05435,Marche Movenpick - Suntec,Western,4.1,45 mins,2.2 km,10% off storewide. 20% off with GrabUnlimited. T&C apply.,Order Marche Movenpick - Suntec,TRUE
28,4-C2MKSFVKKFCCWA,Huolala Mala Specialist 火辣辣麻辣专家 - Liang Seah Street,"Chinese, Mala",4,30 mins,1.9 km,10% off storewide. 20% off with GrabUnlimited. T&C apply.,Order Huolala Mala Specialist 火辣辣麻辣专家 - Liang Seah Street,TRUE
29,4-C3XUR8EWTJXUGJ,老街称盘麻辣烫 Alley Malatang - Liang Seah Street,"Chinese, Drinks & Beverages, Desserts",3.3,35 mins,1.9 km,20% off storewide with GrabUnlimited. T&C apply.,Order 老街称盘麻辣烫 Alley Malatang - Liang Seah Street,TRUE
30,4-C3XUR8EWTJXUGJ,Taan Izabar - Liang Seah Place,"Japanese, Bento, Alcohol, Coffee & Tea",3.6,30 mins,1.9 km,20% off storewide with GrabUnlimited. T&C apply.,Order 老街称盘麻辣烫 Alley Malatang - Liang Seah Street,TRUE
31,4-CYTGCXWKA7ADVT,Chong Qing Grilled Fish - Liang Seah Street,"Seafood, Local & Malaysian, Chinese",4.3,30 mins,1.9 km,10% off storewide. 20% off with GrabUnlimited. T&C apply.,Order Chong Qing Grilled Fish - Liang Seah Street,TRUE
